orden,codigo,nombre,categoria,descripcion,especificaciones,beneficios,presentacion,imagen,pdf
1,AD001,Combacid XL,aditivos,"Es un producto en polvo usado como aditivo alimentario que inhibe agentes patógenos
que ocasionan enfermedades, se considera un promotor de crecimiento.","ANÁLISIS GARANTIZADO
• Ácido Fórmico Libre: 33% Mín.
• Ácido Propiónico Libre:10% Mín.

APLICACIÓN
Laboratorio: Mysis 1-2, 2 pmm, Mysis 2-3, 4 ppm,
PL1 - PL5, 5 ppm, PL5 en adelante 6 ppm.
Frecuencia: dos veces al día.
Camaronera: Pre-cría - engorde 2 – 6g/ kg de alimento.","Es un producto que al ser utilizado en el alimento actúa como un inhibidor de patógenos del tracto intestinal debido a la disminución del valor pH lo cual mejora el desempeño zootécnico de los camarones como la ganancia de peso, la eficiencia alimentaria y la supervivencia al mejorar la digestibilidad de los nutrientes de las dietas. Inhibe bacterias patógenas como V. parahemolítico, V. harveyi, V. vulnificus, E. coli y Salmolella sp.","• 3kg en cubetas de plástico de 7L.
• 4Kg en cubetas de plástico de 10L.",AD001_COMBACID_XL.PNG,AD001_COMBACID_XL.PDF
2,AD002,Carophyll Pink,aditivos,"Pigmentante en polvo utilizado como aditivo alimentario en camarones para funciones de pigmentación, fotoprotección y como antioxidante. Contiene astaxantina en una matriz recubierta de almidón de maíz, lignosulfonato y cera de abejas. Además, incluye Dl-alfa-tocoferol como antioxidante. Es un suplemento que favorece el desempeño fisiológico y reproductivo de los crustáceos.","Aplicación:
Laboratorio: 0.5 – 1.0 g/kg de alimento
Camaronera: 0.5 g/kg de alimento
Fineza:
100% pasa por tamiz #20
90% pasa por tamiz #40 (mínimo)
30% pasa por tamiz #100 (máximo)
Pérdida por secado: Máx. 8%
Astaxantina: Máx. 10%
Fórmula empírica: C₄₀H₅₂O
Masa molecular: 596.85 g/mol
CAS No: 7542-45-2
EINECS No: 231-424-6","Mejora la pigmentación natural de los camarones.
Actúa como fotoprotector y antioxidante.
Incrementa la sobrevivencia.
Disminuye el ciclo de muda.
Mejora la resistencia al estrés.
Favorece el desempeño reproductivo.
Precursor de vitamina A.","• Fundas de 500g.
• Producto sensible al aire, calor y luz. Una vez abierto, debe usarse completamente.",AD002_CAROPHYLL_PINK.PNG,AD002_CAROPHYLL_PINK.PDF
3,AD003,Desinfectante Argentyne,aditivos,"Desinfectante en base a yodo, utilizado en laboratorio para la desinfección de huevos y post-larvas de camarones y peces. El producto está certificado como libre de virus, bacterias, hongos, parásitos y otros patógenos. Fabricado en EE. UU., su uso garantiza condiciones sanitarias óptimas en procesos larvarios acuícolas.","Análisis garantizado:
• Yodo total: 12.9%
• Povidona yodada (PVP-I): 10%
• Yodo libre: 1%
• pH (25 °C): 6.8
• Pérdida por sequía: 2.6%
• Residuo de ignición: <0.025%
• Ion de yoduro de potasio: 5.9%
• Contenido de nitrógeno: 9.9%
Aplicación:
• Diluir 100 veces para obtener 100 ppm de yodo libre.
• Usar agua con baja carga orgánica para evitar la inactivación del yodo.
• Ajustar el pH de la solución diluida a 7 para mejorar la supervivencia de los huevos.
• Soluciones madre deben mantenerse entre pH 6.5 – 7.0.
• Después del desove, endurecer los huevos durante 2 horas en agua, reposar 2 horas más.
• Sumergir los huevos en la solución diluida de ARGENTYNE por 10 minutos, enjuagar y transferir a bandejas de incubación.","Efectiva desinfección de huevos y post-larvas.
Libre de virus, bacterias, hongos y parásitos.
Mejora la tasa de supervivencia en etapas tempranas.
Contribuye a mantener un ambiente sanitario en incubación.",• Envases plásticos de 1 galón.,AD003_DESINFECTANTE_ARGENTYNE.PNG,AD003_DESINFECTANTE_ARGENTYNE.PDF
4,AD004,Emerald,aditivos,"Premezcla aromatizante en polvo para especies acuícolas como camarones y peces. Formulada en forma de microperlas, contiene una combinación estandarizada de aceite esencial de canela (>10%), encapsulado en aceite vegetal hidrogenado para garantizar su estabilidad y liberación controlada.","Aplicación:
• Dosis recomendada: 1 – 5 g/kg de alimento
• Vía de administración: mezclado en el alimento balanceado","Aumenta la palatabilidad del alimento.
Mejora la integridad y función de la barrera intestinal.
Reduce desórdenes digestivos.
Estimula el sistema inmunológico.
Disminuye la carga bacteriana.
Actúa como aromatizante para mejorar la aceptación del alimento.","Fundas de 1 kg
• Vida útil de 24 meses en empaque cerrado
• Conservar en lugar fresco, seco y protegido del aire y la luz",AD004_EMERALD.PNG,AD004_EMERALD.PDF
5,AD005,Florfenicol,aditivos,Antibiótico de amplio espectro aprobado por la FDA para el tratamiento de enfermedades bacterianas en organismos acuícolas. Recomendado para uso en camarones y peces en sistemas de laboratorio y camaroneras. Es eficaz contra diversas bacterias patógenas responsables de infecciones comunes en acuicultura.,"Ingredientes activos:
• Florfenicol: 20%
• Excipientes: 80%
Aplicación:
• Dosis: 3 a 5 kg por tonelada de alimento balanceado
• La dosis puede variar según indicación técnica
• Periodo de retiro: 30 días desde la última administración","Antibiótico de amplio espectro contra infecciones bacterianas.
Eficaz frente a Vibrio harveyi, V. vulnificus, V. parahaemolyticus, Aeromonas sp., entre otros.
Mejora la salud y supervivencia de los camarones al controlar patógenos bacterianos.","• Bolsas de 1 kg
• Conservar en un lugar fresco y seco
• Evitar exposición directa a la luz solar
• Mantener fuera del alcance de los niños",AD005_FLORFENICOL.PNG,AD005_FLORFENICOL.PDF
6,AD006,Oxitetraciclina,aditivos,"Antibiótico de amplio espectro autorizado por la FDA para uso en acuicultura. Diseñado para el tratamiento de bacterias grampositivas, gramnegativas, anaerobias y otros patógenos como Vibrio, Chlamydia, Mycoplasmas, protozoarios, rickettsias, Salmonella, Staphylococcus y Streptococcus. Se utiliza en sistemas de laboratorio y camaroneras para garantizar la salud de los organismos acuáticos.","Ingredientes activos:
• Oxitetraciclina: 98% (concentrado)
• Excipientes: 2%
Aplicación:
• La dosis debe determinarse según análisis bacteriológicos y valores de Concentración Mínima Inhibitoria (MIC).","Efectivo contra una amplia variedad de bacterias y microorganismos.
Aprobado para uso en especies acuícolas.
Combate infecciones bacterianas que afectan la productividad y supervivencia en cultivo.","• Bolsas de 1 kg
• Tambores de 25 kg
• Conservar en lugar fresco y seco
• Proteger de la luz solar directa y prolongada
• Mantener fuera del alcance de los niños",AD006_OXITETRACICLINA.PNG,AD006_OXITETRACICLINA.PDF
7,AD007,Prime Booster,aditivos,"Enriquecedor nutricional formulado con una combinación de vitaminas, minerales y fosfolípidos con alto contenido de DHA. Diseñado para fortalecer el sistema inmunológico rudimentario del camarón en todos sus estadios, ayudando a prevenir enfermedades e infecciones bacterianas y virales. Su uso incrementa la supervivencia y mejora la salud general del cultivo.","Aplicación:
• Camaronera: 1 – 2 g/kg de alimento por día
• Laboratorio:
Enriquecimiento de artemia: 3 g/lb
Larvas: 1 g/kg de alimento diario en todos los estadios","Refuerza el sistema inmunológico del camarón.
Ayuda a prevenir infecciones bacterianas y virales.
Mejora la respuesta frente al estrés.
Incrementa la tasa de supervivencia en laboratorio y camaronera.
Aporta DHA, vitaminas y minerales esenciales.","• Fundas de 1 kg
• Sacos de 24 kg
• Vida útil de 24 meses en empaque cerrado
• Conservar en lugar fresco y seco
• Evitar exposición directa al aire y luz",AD007_PRIME_BOOSTER.PNG,AD007_PRIME_BOOSTER.PDF
8,AD008,Protector D3 + Zinc Activado,aditivos,"Premezcla vitamínico-mineral formulada para camarones Penaeus vannamei en todas sus fases, incluyendo larvarias. Su formulación equilibrada en electrolitos, minerales y vitaminas fortalece la salud del animal, mejora el equilibrio iónico en el medio acuático y contribuye al crecimiento y supervivencia en sistemas de laboratorio y camaronera.","Ingredientes activos:
• Electrolitos: Calcio, magnesio, potasio
• Minerales: Zinc, sodio, yodo, selenio, hierro, cobalto, cobre, manganeso
• Vitaminas: C, E, H2, K3, B6, B5, B1, A, B2, B12, B9, B3, D3
Análisis garantizado:
• Vitamina A: mínimo 2,800,000 UI/kg
• Vitamina D3: mínimo 1,000,000 UI/kg
• Vitamina E: mínimo 12,500 UI/kg
• Zinc: mínimo 3,500 UI/kg
Aplicación:
• Camaronera:
Pre-cría: 4 – 5 g/kg de alimento
Engorde: 5 – 6 g/kg de alimento
• Laboratorio: Según indicaciones del técnico
Vía de administración: Mezclado en el alimento balanceado y/o directo al agua de cultivo","Fortalece la salud general del camarón.
Mejora el equilibrio iónico en el medio acuático.
Estimula el crecimiento y desarrollo saludable.
Contribuye a una mayor supervivencia en todas las etapas.
Aporta vitaminas esenciales y zinc activado con función inmunoestimulante.","• Envases sellados al vacío de 1 kg
• Conservar sobre tarimas, en lugar seco, ventilado y protegido de la luz solar",AD008_PROTECTOR_D3_ZINC_ACTIVADO.png,AD008_PROTECTOR_D3_ZINC_ACTIVADO.PDF
9,AD009,Saponina,aditivos,"Producto natural y orgánico utilizado en la acuicultura, especialmente en camaroneras, para eliminar peces no deseados, mejillones, parásitos e insectos nocivos en los estanques. Es seguro para los humanos, no deja residuos, y además promueve el crecimiento y la muda de los camarones.","Análisis garantizado:
• Apariencia: Polvo amarillo claro
• Materia activa: mínimo 75%
• Formación de espuma: 160 – 190 mm
• Solubilidad en agua: Fácil
• pH: 5.0 – 6.0
• Tensión superficial: 32.86 mN/m
• HLB: 10.9 – 16
• CMC (Concentración micelar crítica): 0.5%
Aplicación:
• Piscina seca:
Subir el nivel de agua a 30 cm
Aplicar 25 kg/ha (previamente diluidos en 20 L de agua por cada 100 g)
Reposar de 2 a 3 días, desechar el agua, lavar la piscina y llenar nuevamente
• Piscina llena:
Día 1: Aplicar 35 kg/ha diluidos, reducir el nivel del agua en 30%, sellar compuertas, no alimentar
Día 2: Aumentar el nivel al 15% con flujo suave, monitorear oxígeno, no alimentar
Día 3: Recuperar nivel al 100% con flujo normal, alimentar al 50%
Día 4: Flujo y alimentación normal
Advertencia: Considerar que el camarón no esté en proceso de muda antes de aplicar.","Elimina peces, insectos y parásitos no deseados sin dañar al camarón.
Se disuelve rápidamente y no deja residuos.
Estimula la muda (ecdisis) y el crecimiento.
Previene enfermedades como branquias negras.
Puede utilizarse como agente de limpieza del estanque.","• Sacos de 10 kg
• Conservar en lugar seco, alejado de la luz y la humedad",AD09_SAPONINA.PNG,AD09_SAPONINA.PDF
10,AD010,Vevovitall,aditivos,"Aditivo alimentario en forma de hojuelas blancas compuesto por ácido benzoico, diseñado para mejorar la salud intestinal y la eficiencia alimentaria en peces y camarones. Actúa como conservante, reduciendo la actividad microbiana tanto en el alimento como en el sistema digestivo del animal. Aprobado como fuente segura de ácido benzoico para acuicultura.","Aplicación:
• Dosis: 0.5 – 5 g/kg de alimento
• Uso: Mezclar con el alimento, adicionar pegante y suministrar
Condiciones de almacenamiento:
• Vida útil: 24 meses desde la fecha de fabricación
• Temperatura: Almacenar por debajo de 25°C","Conserva y estabiliza el alimento balanceado.
Efectivo contra hongos y levaduras.
Mejora la salud intestinal del camarón y del pez.
Reduce trastornos digestivos.
Optimiza el rendimiento alimenticio.
Favorece un ambiente intestinal con microflora equilibrada.","Fundas de 1 kg
• Conservar en lugar fresco, seco y ventilado, por debajo de 25 °C",AD010_VEVOVITALL.PNG,AD010_VEVOVITALL.PDF
