ID,Numero,Codigo_Producto,Nombre,Categoria,Subcategoria,Slug,Imagen,PDF_Ficha,Descripcion_Corta,Descripcion_Larga,Marca,Disponibilidad,Destacado,Tags,Beneficios,Presentacion,Especificaciones,Palabras_Clave,Fecha_Actualizacion
"1","1","AD001","COMBACID XL","aditivos","Acidificantes","combacid-xl","/assets/images/productos/aditivos/AD001.png","/assets/pdfs/productos/aditivos/AD001_COMBACID_XL_ficha.pdf","Objecto en polvo que inhibe agentes patógenos y promueve el crecimiento.","Es un producto en polvo usado como aditivo alimentario que inhibe agentes patógenos que ocasionan enfermedades, se considera un promotor de crecimiento.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; acidificantes","Inhibe agentes patógenos del tracto intestinal; Mejora desempeño zootécnico: ganancia de peso, eficiencia alimentaria y supervivencia; Mejora digestibilidad de nutrientes; Inhibe bacterias patógenas: V. parahemolítico, V. harveyi, V. vulnificus, E. coli y Salmonella sp.","3kg en cubetas de plástico de 7L; 4kg en cubetas de plástico de 10L","Ácido Fórmico Libre: 33% Mín.; Ácido Propiónico Libre: 10% Mín.; Aplicación Laboratorio: Mysis 1-2, 2 pmm; Mysis 2-3, 4 ppm; PL1-PL5, 5 ppm; PL5+, 6 ppm; Frecuencia: Dos veces al día; Camaronera: Pre-cría - engorde 2 – 6g/kg de alimento","aditivos; camarones; acidificantes; acuicultura; prilabsa","2025-07-19T17:20:19.663573"
"2","2","AD002","CAROPHYLL PINK","aditivos","Acidificantes","carophyll-pink","/assets/images/productos/aditivos/AD002.png","/assets/pdfs/productos/aditivos/AD002_CAROPHYLL_PINK_ficha.pdf","Pigmentante en polvo con astaxantina para mejora de pigmentación.","Pigmentante en polvo utilizado como aditivo alimentario en camarones para funciones de pigmentación, fotoprotección y como antioxidante. Contiene astaxantina en una matriz recubierta de almidón de maíz, lignosulfonato y cera de abejas.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; pigmentantes","Mejora la pigmentación natural de los camarones; Actúa como fotoprotector y antioxidante; Incrementa la sobrevivencia; Disminuye el ciclo de muda; Mejora la resistencia al estrés; Favorece el desempeño reproductivo; Precursor de vitamina A","Fundas de 500g; Objecto sensible al aire, calor y luz. Una vez abierto, debe usarse completamente","Aplicación Laboratorio: 0.5 – 1.0 g/kg de alimento; Aplicación Camaronera: 0.5 g/kg de alimento; Pérdida por secado: Máx. 8%; Astaxantina: Máx. 10%; Fórmula empírica: C₄₀H₅₂O; Masa molecular: 596.85 g/mol","aditivos; camarones; astaxantina; pigmentantes; acuicultura; prilabsa","2025-07-19T17:20:19.664945"
"3","3","AD005","FLORFENICOL","aditivos","Antibióticos","florfenicol","/assets/images/productos/aditivos/AD005.png","/assets/pdfs/productos/aditivos/AD005_FLORFENICOL_ficha.pdf","Antibiótico de amplio espectro aprobado por la FDA.","Antibiótico de amplio espectro aprobado por la FDA para el tratamiento de enfermedades bacterianas en organismos acuícolas. Recomendado para uso en camarones y peces.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; antibioticos","Antibiótico de amplio espectro contra infecciones bacterianas; Eficaz frente a Vibrio harveyi, V. vulnificus, V. parahaemolyticus; Mejora la salud y supervivencia de los camarones","Bolsas de 1 kg; Conservar en un lugar fresco y seco","Florfenicol: 20%; Excipientes: 80%; Dosis: 3 a 5 kg por tonelada de alimento balanceado","aditivos; antibioticos; camarones; acuicultura; prilabsa","2025-07-19T17:20:19.637242"
"4","4","AD012","VITAMINA C MONOFOSFATADA","aditivos","Antioxidantes","vitamina-c-monofosfatada","/assets/images/productos/aditivos/AD012.png","/assets/pdfs/productos/aditivos/AD012_VITAMINA_C_MONOFOSFATADA_ficha.pdf","Vitamina C estabilizada para altas temperaturas.","Vitamina C estabilizada (L-Ácido Ascórbico al 35%) en forma monofosfatada, diseñada para resistir altas temperaturas y proteger su actividad biológica durante el procesamiento del alimento.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; antioxidantes","Alta estabilidad térmica para procesos de granulación; Alta biodisponibilidad; Protección molecular del ácido ascórbico; Ideal para alimentos balanceados de alta temperatura","Envases sellados al vacío de 1 kg; Cartones de 25 kg","Contenido de vitamina C: 35%; Fórmula molecular: C₆H₈O₉P; Peso molecular: 256.11; pH: 7.0 – 9.5","aditivos; camarones; antioxidantes; acuicultura; prilabsa","2025-07-19T17:20:19.658843"
"5","5","AD009","PROTECTOR D3 + ZINC ACTIVADO","aditivos","Inmunoestimulantes","protector-d3-zinc-activado","/assets/images/productos/aditivos/AD009.png","/assets/pdfs/productos/aditivos/AD009_PROTECTOR_D3_ZINC_ACTIVADO_ficha.pdf","Premezcla vitamínico-mineral con zinc activado.","Premezcla vitamínico-mineral formulada para camarones Penaeus vannamei en todas sus fases, incluyendo larvarias. Su formulación equilibrada fortalece la salud del animal.","PRILABSA","InStock","true","aditivos; acuicultura; prilabsa; inmunoestimulantes","Fortalece la salud general del camarón; Mejora el equilibrio iónico en el medio acuático; Estimula el crecimiento y desarrollo saludable; Aporta vitaminas esenciales y zinc activado","Envases sellados al vacío de 1 kg; Conservar en lugar seco y ventilado","Vitamina A: mínimo 2,800,000 UI/kg; Vitamina D3: mínimo 1,000,000 UI/kg; Vitamina E: mínimo 12,500 UI/kg; Zinc: mínimo 3,500 UI/kg","aditivos; camarones; inmunoestimulantes; acuicultura; prilabsa","2025-07-19T17:20:19.643101"
"6","6","AD003","DESINFECTANTE ARGENTYNE","aditivos","Desinfectantes","desinfectante-argentyne","/assets/images/productos/aditivos/AD003.png","/assets/pdfs/productos/aditivos/AD003_DESINFECTANTE_ARGENTYNE_ficha.pdf","Desinfectante de amplio espectro a base de plata coloidal.","Desinfectante de amplio espectro a base de plata coloidal para uso en acuicultura. Efectivo contra bacterias, virus y hongos, proporcionando una desinfección segura y eficaz.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; desinfectantes","Amplio espectro antimicrobiano; Seguro para organismos acuáticos; No genera resistencia bacteriana; Biodegradable y no tóxico","Envases de 1 litro; Conservar en lugar fresco y seco","Plata coloidal: 10 ppm; pH: 6.5 - 7.5; Dosis recomendada: 1-2 ml por litro de agua","aditivos; desinfectantes; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
"7","7","AD004","EMERALD","aditivos","Inmunoestimulantes","emerald","/assets/images/productos/aditivos/AD004.png","/assets/pdfs/productos/aditivos/AD004_EMERALD_ficha.pdf","Inmunoestimulante natural a base de extractos vegetales.","Inmunoestimulante natural a base de extractos vegetales para fortalecer el sistema inmunológico de camarones. Mejora la resistencia a enfermedades y promueve un crecimiento saludable.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; inmunoestimulantes","Fortalece el sistema inmunológico; Mejora la resistencia a enfermedades; Promueve crecimiento saludable; Origen natural y seguro","Envases de 1 kg; Conservar en lugar fresco y seco","Extractos vegetales: 95%; Dosis recomendada: 2-5 g/kg de alimento; Aplicación: Mezclar con alimento balanceado","aditivos; inmunoestimulantes; camarones; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
"8","8","AD006","OXITETRACICLINA","aditivos","Antibióticos","oxitetraciclina","/assets/images/productos/aditivos/AD006.png","/assets/pdfs/productos/aditivos/AD006_OXITETRACICLINA_ficha.pdf","Antibiótico de amplio espectro para infecciones bacterianas.","Antibiótico de amplio espectro para el tratamiento de infecciones bacterianas en organismos acuáticos. Efectivo contra una amplia gama de bacterias gram-positivas y gram-negativas.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; antibioticos","Amplio espectro antibacteriano; Efectivo contra gram-positivas y gram-negativas; Rápida absorción y distribución; Mejora la salud y supervivencia","Bolsas de 1 kg; Conservar en lugar fresco y seco","Oxitetraciclina: 20%; Excipientes: 80%; Dosis: 5-10 g por kg de alimento","aditivos; antibioticos; camarones; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
"9","9","AD007","PRIME BOOSTER","aditivos","Inmunoestimulantes","prime-booster","/assets/images/productos/aditivos/AD007.png","/assets/pdfs/productos/aditivos/AD007_PRIME_BOOSTER_ficha.pdf","Inmunoestimulante avanzado para mejorar la respuesta inmunológica.","Inmunoestimulante avanzado que mejora la respuesta inmunológica y la resistencia a enfermedades en camarones. Formulado con ingredientes activos que potencian las defensas naturales del organismo.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; inmunoestimulantes","Potencia las defensas naturales; Mejora la resistencia a patógenos; Reduce la mortalidad; Optimiza el rendimiento productivo","Envases de 500g; Conservar en lugar fresco y seco","Ingredientes activos: 98%; Dosis recomendada: 1-3 g/kg de alimento; Frecuencia: Diaria durante 7-10 días","aditivos; inmunoestimulantes; camarones; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
"10","10","AD008","PROTECTOR - D3","aditivos","Inmunoestimulantes","protector-d3","/assets/images/productos/aditivos/AD008.png","/assets/pdfs/productos/aditivos/AD008_PROTECTOR_-_D3_ficha.pdf","Suplemento vitamínico con vitamina D3.","Suplemento vitamínico con vitamina D3 para fortalecer el sistema inmunológico y mejorar la absorción de calcio en camarones. Esencial para el desarrollo óseo y la salud general.","PRILABSA","InStock","false","aditivos; acuicultura; prilabsa; inmunoestimulantes","Fortalece el sistema inmunológico; Mejora la absorción de calcio; Promueve el desarrollo óseo; Reduce el estrés metabólico","Envases de 1 kg; Conservar en lugar fresco y seco","Vitamina D3: mínimo 1,000,000 UI/kg; Vitamina A: mínimo 2,500,000 UI/kg; Vitamina E: mínimo 10,000 UI/kg","aditivos; vitaminas; camarones; acuicultura; prilabsa","2025-01-15T10:00:00.000Z"
