codigo,categoria,categoria_wp_id,has_translation,nombre_es,nombre_en,nombre_pt,descripcion_corta_es,descripcion_corta_en,descripcion_corta_pt
AD001,aditivos,3,true,"Combacid XL","Combacid XL","Combacid XL","Es un producto en polvo usado como aditivo alimentario que inhibe agentes patógenos que ocasionan enfermedades, se considera un promotor de crecimi...","A powder product used as a feed additive that inhibits pathogenic agents causing diseases, considered a growth promoter.","Um produto em pó usado como aditivo alimentar que inibe agentes patogênicos causadores de doenças, considerado um promotor de crescimento."
AD002,aditivos,3,true,"Carophyll Pink","Carophyll Pink","Carophyll Pink","Pigmentante en polvo utilizado como aditivo alimentario en camarones para funciones de pigmentación, fotoprotección y como antioxidante. Contiene a...","Powder pigment used as a feed additive in shrimp for pigmentation, photoprotection and antioxidant functions. Contains astaxanthin in a matrix coat...","Pigmento em pó usado como aditivo alimentar em camarões para funções de pigmentação, fotoproteção e como antioxidante. Contém astaxantina em uma ma..."
AD003,aditivos,3,true,"Desinfectante Argentyne","Argentyne Disinfectant","Desinfetante Argentyne","Desinfectante en base a yodo, utilizado en laboratorio para la desinfección de huevos y post-larvas de camarones y peces. El producto está certific...","Iodine-based disinfectant used in laboratory for disinfection of shrimp and fish eggs and post-larvae. The product is certified as free of viruses,...","Desinfetante à base de iodo, utilizado em laboratório para a desinfecção de ovos e pós-larvas de camarões e peixes. O produto está certificado como..."
AD004,aditivos,3,true,"Emerald","Emerald","Emerald","Premezcla aromatizante en polvo para especies acuícolas como camarones y peces. Formulada en forma de microperlas, contiene una combinación estanda...","Flavoring powder premix for aquatic species such as shrimp and fish. Formulated as microbeads, it contains a standardized combination of cinnamon e...","Pré-mistura aromatizante em pó para espécies aquáticas como camarões e peixes. Formulada em forma de microesferas, contém uma combinação padronizad..."
AD005,aditivos,3,true,"Florfenicol","Florfenicol","Florfenicol","Antibiótico de amplio espectro aprobado por la FDA para el tratamiento de enfermedades bacterianas en organismos acuícolas. Recomendado para uso en...","Broad-spectrum antibiotic approved by the FDA for the treatment of bacterial diseases in aquaculture organisms. Recommended for use in shrimp and f...","Antibiótico de amplo espectro aprovado pela FDA para o tratamento de doenças bacterianas em organismos aquícolas. Recomendado para uso em camarões ..."
AD006,aditivos,3,true,"Oxitetraciclina","Oxytetracycline","Oxitetraciclina","Antibiótico de amplio espectro autorizado por la FDA para uso en acuicultura. Diseñado para el tratamiento de bacterias grampositivas, gramnegativa...","Broad-spectrum antibiotic authorized by the FDA for use in aquaculture. Designed for the treatment of gram-positive, gram-negative, anaerobic bacte...","Antibiótico de amplo espectro autorizado pela FDA para uso na aquicultura. Projetado para o tratamento de bactérias gram-positivas, gram-negativas,..."
AD007,aditivos,3,true,"Prime Booster","Prime Booster","Prime Booster","Enriquecedor nutricional formulado con una combinación de vitaminas, minerales y fosfolípidos con alto contenido de DHA. Diseñado para fortalecer e...","Nutritional enricher formulated with a combination of vitamins, minerals and phospholipids with high DHA content. Designed to strengthen the rudime...","Enriquecedor nutricional formulado com uma combinação de vitaminas, minerais e fosfolípidos com alto teor de DHA. Projetado para fortalecer o siste..."
AD008,aditivos,3,true,"Protector D3 + Zinc Activado","Protector D3 + Activated Zinc","Protector D3 + Zinco Ativado","Premezcla vitamínico-mineral formulada para camarones Penaeus vannamei en todas sus fases, incluyendo larvarias. Su formulación equilibrada en elec...","Vitamin-mineral premix formulated for Penaeus vannamei shrimp in all phases, including larval. Its balanced formulation of electrolytes, minerals a...","Pré-mistura vitamínico-mineral formulada para camarões Penaeus vannamei em todas as fases, incluindo larvais. Sua formulação equilibrada em eletról..."
AD009,aditivos,3,true,"Saponina","Saponin","Saponina","Producto natural y orgánico utilizado en la acuicultura, especialmente en camaroneras, para eliminar peces no deseados, mejillones, parásitos e ins...","Natural and organic product used in aquaculture, especially in shrimp farms, to eliminate unwanted fish, mussels, parasites and harmful insects in ...","Produto natural e orgânico utilizado na aquicultura, especialmente em fazendas de camarão, para eliminar peixes indesejados, mexilhões, parasitas e..."
AD010,aditivos,3,true,"Vevovitall","Vevovitall","Vevovitall","Aditivo alimentario en forma de hojuelas blancas compuesto por ácido benzoico, diseñado para mejorar la salud intestinal y la eficiencia alimentari...","Feed additive in white flake form composed of benzoic acid, designed to improve intestinal health and feed efficiency in fish and shrimp. Acts as a...","Aditivo alimentar em forma de flocos brancos composto por ácido benzoico, projetado para melhorar a saúde intestinal e a eficiência alimentar em pe..."
AD011,aditivos,3,true,"Vitamina C","Vitamin C","Vitamina C","Vitamina C (L-Ácido Ascórbico al 99%) utilizada como suplemento nutricional en camarones y peces. Puede aplicarse mezclada con el alimento o direct...","Vitamin C (L-Ascorbic Acid 99%) used as nutritional supplement in shrimp and fish. Can be applied mixed with feed or directly in water, especially ...","Vitamina C (Ácido L-Ascórbico 99%) utilizada como suplemento nutricional em camarões e peixes. Pode ser aplicada misturada com a ração ou diretamen..."
